Name,Number,jd,umag,umag_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,Vmag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,umag_red,gmag_red,rmag_red,imag_red,zmag_red,V
Erichthonios,9430,2453351.89483,20.94,0.1,19.41,0.02,18.81,0.02,18.5,0.02,18.36,0.03,19.05,5.259757439792212,0.05422838709211535,1.003234135133837,4.805,5.541,7.25,10.5,0.15,13.813592289177661,12.28359228917766,11.68359228917766,11.373592289177662,11.233592289177661,11.945592289177661
1991_DK1,9590,2452730.7314,20.77,0.08,19.28,0.02,18.78,0.01,18.54,0.02,18.37,0.03,18.98,5.104015945916613,0.03936519921564426,6.659127683892579,4.0360000000000005,4.98,4.19,11.9,0.15,14.254097498377044,12.764097498377053,12.264097498377053,12.024097498377047,11.854097498377055,12.482430831710383
Eurymachos,9818,2451962.6129400004,20.37,0.05,18.84,0.02,18.37,0.01,18.2,0.01,18.14,0.03,18.55,5.1945293440124525,0.005290241111388879,7.495805775951142,4.455,5.233,7.25,11.0,0.15,13.532007784437209,12.002007784437206,11.532007784437209,11.362007784437205,11.302007784437206,11.73724111777054
Amphiaraos,10247,2452015.64711,20.27,0.06,18.83,0.06,18.31,0.02,18.08,0.02,18.0,0.03,18.52,5.282202663486496,0.007892494399986481,4.1882792620953575,4.297,5.172999999999999,5.96,10.5,0.15,13.535460839535071,12.09546083953507,11.575460839535069,11.34546083953507,11.265460839535072,11.802527506201734
1988_RN11,11273,2452225.67428,21.32,0.12,19.78,0.02,19.28,0.03,19.07,0.03,18.96,0.06,19.48,5.189378084612144,0.09413142295005908,1.420277141388764,4.9060000000000015,5.646,7.17,11.6,0.15,14.10765791159366,12.567657911593663,12.067657911593663,11.85765791159366,11.747657911593663,12.285991244926992
1998_XZ77,11396,2451960.82687,19.73,0.04,18.27,0.02,17.67,0.01,17.4,0.01,17.28,0.02,17.92,5.216132388824332,0.06485721751143428,12.577689475096081,4.442,5.377999999999999,3.75,10.5,0.15,12.83900323950131,11.379003239501307,10.779003239501307,10.509003239501308,10.38900323950131,11.041003239501308
1998_XZ77,11396,2453526.83515,19.86,0.05,18.42,0.02,17.79,0.01,17.57,0.01,17.43,0.03,18.04,5.216132388824332,0.06485721751143428,12.577689475096081,4.343,5.336,2.51,10.5,0.15,13.034971748646393,11.594971748646396,10.964971748646393,10.744971748646392,10.604971748646394,11.240071748646397
1988_RM11,11488,2453439.69245,21.01,0.12,19.37,0.03,18.81,0.02,18.58,0.02,18.46,0.04,19.03,5.186161791692822,0.03601961546115255,3.3513843395271765,4.394,5.233,6.35,11.6,0.15,14.201946063379214,12.561946063379214,12.001946063379213,11.771946063379215,11.651946063379214,12.246479396712544
1988_RM11,11488,2453439.73765,20.87,0.11,19.31,0.02,18.73,0.02,18.55,0.02,18.41,0.03,18.96,5.186161791692822,0.03601961546115255,3.3513843395271765,4.394,5.233,6.36,11.6,0.15,14.061946063379214,12.501946063379213,11.921946063379213,11.741946063379213,11.601946063379215,12.175212730045883
Boucolion,11552,2454173.79133,19.68,0.05,18.2,0.02,17.59,0.02,17.35,0.02,17.24,0.02,17.84,5.2781924490055045,0.1541982815652308,14.67632759940724,4.673,5.57,4.8,10.6,0.15,12.602745119009787,11.122745119009789,10.51274511900979,10.272745119009793,10.162745119009786,10.779111785676458
Boucolion,11552,2453439.7574400003,20.01,0.05,18.55,0.02,17.94,0.02,17.72,0.02,17.62,0.02,18.19,5.2781924490055045,0.1541982815652308,14.67632759940724,5.093,5.983,4.57,10.6,0.15,12.59053660490888,11.130536604908876,10.520536604908877,10.300536604908876,10.200536604908876,10.786903271575543
Boucolion,11552,2453439.71223,20.0,0.05,18.52,0.04,17.86,0.03,17.61,0.03,17.46,0.02,18.13,5.2781924490055045,0.1541982815652308,14.67632759940724,5.093,5.983,4.56,10.6,0.15,12.580536604908874,11.100536604908877,10.440536604908877,10.190536604908877,10.040536604908876,10.728736604908876
Boucolion,11552,2453441.70587,19.86,0.05,18.41,0.02,17.79,0.03,17.53,0.03,17.42,0.03,18.04,5.2781924490055045,0.1541982815652308,14.67632759940724,5.1080000000000005,5.983,4.88,10.6,0.15,12.434150542832878,10.98415054283288,10.364150542832876,10.104150542832881,9.994150542832882,10.634883876166212
Asios,11554,2453405.72528,19.43,0.03,17.85,0.02,17.32,0.02,17.13,0.01,17.07,0.02,17.53,5.28347735033642,0.0651628889837817,13.70284837079707,4.353,5.337999999999999,0.48,10.5,0.15,12.599163816955564,11.019163816955563,10.489163816955564,10.299163816955565,10.239163816955564,10.720597150288896
Asios,11554,2452234.80468,19.92,0.05,18.38,0.03,17.85,0.02,17.66,0.01,17.64,0.03,18.07,5.28347735033642,0.0651628889837817,13.70284837079707,4.559,5.496,3.58,10.5,0.15,12.925418418732722,11.385418418732714,10.855418418732722,10.66541841873272,10.64541841873272,11.086851752066051
Asios,11554,2452261.76021,20.32,0.06,18.78,0.03,18.23,0.01,18.03,0.02,17.93,0.03,18.45,5.28347735033642,0.0651628889837817,13.70284837079707,4.757,5.501,7.23,10.5,0.15,13.231126018151665,11.691126018151664,11.141126018151665,10.941126018151664,10.841126018151662,11.38129268481833
1989_TS2,11869,2452225.75614,20.8,0.08,19.29,0.02,18.62,0.02,18.36,0.01,18.26,0.03,18.89,5.231770538020197,0.04332926899009575,11.30928346725331,4.325,5.228,4.9,11.9,0.15,14.028391546453301,12.518391546453302,11.848391546453302,11.588391546453302,11.488391546453302,12.140958213119971
1989_TS2,11869,2452288.58603,21.36,0.12,19.89,0.03,19.31,0.02,19.04,0.02,18.93,0.04,19.54,5.231770538020197,0.04332926899009575,11.30928346725331,5.141,5.247000000000001,10.8,11.9,0.15,14.205206659673136,12.735206659673135,12.155206659673135,11.885206659673136,11.775206659673135,12.408473326339802
